url,path,content_type,status
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectures/10_normal_gaussian.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectureNotes/LN10_normal_gaussian.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectures/11_joint_rv.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectureNotes/LN11_joint_rv.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectures/12_cont_joint_rv.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectureNotes/LN12_cont_joint_rv.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectures/13_independent_rvs.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectureNotes/LN13_independent_rvs.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectures/14_conditional_distribution.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectureNotes/LN14_conditional_distribution.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectures/15_covariance.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectureNotes/LN15_covariance.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectures/16_great_expectations.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectureNotes/LN16_great_expectations.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectures/17_beta.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectureNotes/LN17_beta.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectures/18_clt.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectureNotes/LN18_clt.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectures/19_sampling.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectureNotes/LN19_sampling.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectures/20_sampling_inference.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectureNotes/LN20_inference.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectures/21_parameters_mle.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectureNotes/LN21_parameters_mle.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectures/22_mle_gradient_ascent.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectureNotes/LN22_gradient_ascent.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectures/23_map.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectureNotes/LN23_map.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectures/24_naive_bayes.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectureNotes/LN24_naive_bayes.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectures/25_logistic_regression.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectureNotes/LN25_logistic_regression.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectures/26_deep_learning.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectureNotes/LN26_deep_learning.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectures/27_deep_learning_ii.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/restricted/pset1_soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/restricted/pset2_soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/restricted/pset3_soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/restricted/pset4_soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/restricted/pset5_soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/restricted/pset6_soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/restricted/midterm.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/restricted/midterm_soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/psets/cs109_contest.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/restricted/final_soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/section/1/section1.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/section/1/section1_soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/section/2/section2.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/section/2/section2_soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/section/3/section3.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/section/3/section3_soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/section/4/section4.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/section/4/section4_soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/section/5/section5.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/section/5/section5_soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/section/6/section6.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/section/6/section6_soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/section/7/section7.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/section/7/section7_soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/section/8/section8.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/section/8/section8_soln.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/handouts/H01_administrivia.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/handouts/H02_calculation_ref.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/handouts/H03_python_slides.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/handouts/H04_standard_normal.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/psets/contest/Robert_Thompson.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/psets/contest/Callum_Burgess.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/handouts/latex/intro.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectures/28_final_review.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1202/lectures/29_beyond_cs109.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1228/handouts/syllabus_sum22.pdf,,,listed
https://web.stanford.edu/class/archive/cs/cs109/cs109.1228/restricted/psets/pset6/pset6.pdf,,,listed
