building_id,building_name_1,building_name_2,stories,number_of_units,year_built,building_sq_ft
343097,WINDSOR AT ONTARIO PLACE,BUKARA RESTAURANT AND WHITE HEN PANTRY,49,,1983,
217910,BARRY WEST APARTMENTS,,27,73,1967,
814411,CHICAGO TITLE AND TRUST CENTER,,50,,,
356595,,,10,,1949,
861480,,,14,53,1931,
146120,4100 N MARINE,,19,187,1967,
308246,,,16,,1972,
19503,,,14,,1932,91600
813600,25 E PEARSON BLDG,LOYOLA UNIV,15,,1994,
297284,EUGENIE SQUARE,,42,,1972,
357885,FIRST AMERICAN BANK,33 WEST MONROE,28,,1934,1092500
158822,GRILL PARK COOPERATIVE,,27,,1969,
259986,2400 N LAKEVIEW,,29,264,1966,
316853,,,15,,1984,
814144,,,45,,2003,
130090,"IMPERIAL TOWERS, NORTH AND SOUTH",,29,864,1962,
352713,NUVEEN,333 WEST WACKER,36,,1983,
814697,,,19,,1927,131100
442259,,,17,146,1984,
316660,,,13,,1929,
63001,5415,,55,770,1974,
34197,TIARA,,29,100,1970,
511111,,,10,92,1984,
430489,,,15,,1951,
315880,,,15,80,1990,
312675,,,17,50,1953,
815085,NORTH PIER TOWER,,62,376,1989,
59490,,,14,,1985,
348741,TRIBUNE TOWER,,34,,1925,
126326,,,19,,1981,
332290,,,31,280,1984,110400
814194,QUAKER OATS BUILDING,,34,,1988,368800
814268,RENAISSANCE HOTEL,,27,,1990,
371292,1212 SOUTH MICHIGAN,,31,247,1980,
815867,21 WEST CHESTNUT,,17,175,1899,
574061,,,22,240,1969,
318846,,,17,,1970,
261607,345 FULLERTON EAST AND WEST,,30,220,1974,
197897,,,17,77,1931,
422881,,,20,200,1981,
814558,UBS TOWER,,50,,2001,1542300
383370,2101 SOUTH MICHIGAN,,26,275,1971,
321624,,,10,,1981,
317953,,,32,62,1969,
219892,,,20,109,1966,
44301,,,12,90,1957,
523162,,,11,110,1983,
814196,WESTIN RIVER NORTH,,19,,1987,
357993,,,10,,1949,
115304,RAVENSWOOD HOSPITAL MEDICAL CENTER,,10,,1972,
815873,,,20,,2003,
838101,,,11,,2005,
814516,HOTEL BURNHAM,,14,,1914,62700
245873,,,11,,1968,
821396,,,10,,2002,
325796,OAK TRUST & SAVINGS BANK,,39,,1971,
318962,GREEN HOMES 1,,15,,1965,
320362,,,15,,1949,
814742,,,11,,1990,222800
397469,,,21,240,1971,
329879,ESPLANADE APARTMENTS I,,28,,1955,
316694,,,13,,1949,
815077,222 PEARSON EAST,,29,220,1969,
23295,,,12,,1968,
74314,HILTON HOTEL,OHARE AIRPORT STRUCTURE,10,,1973,
340322,THE HERMITAGE ON HURON,,26,241,1985,10700
583229,,,34,330,1968,
245172,,,19,130,1985,
352480,35 EAST WACKER DRIVE BUILDING,,40,,1926,
343329,230 EAST ONTARIO,,28,144,1972,3500
861925,,,15,28,1932,
205249,,,14,56,1933,
365174,UIC - UNIVERSITY HALL,,28,,1964,
813467,ONE MAGNIFICANT MILE,,57,182,1984,465900
358005,HARRIS TRUST,,15,,1973,
150816,,,23,662,1955,
799326,,,12,,1959,
308077,,,18,,1927,
475665,,,17,31,1971,
815437,,,15,72,1974,
821438,,,11,88,1929,
356148,THREE BANK ONE PLAZA,THREE FIRST NATIONAL PLAZA,57,,1979,
868400,,,17,,,
357386,NORTHERN TRUST BANK,,13,,,
261747,,,18,68,1930,
398113,,,13,,1957,
815875,PARK PLACE,,18,,2002,
330947,,,13,48,1926,
358763,DIRKSEN FEDERAL BUILDING,,30,,1965,
358416,Charles Schwab,,33,,1969,
815822,KENNELLY SQUARE,,24,290,1974,35900
385853,HYATT REGENCY MCCORMICK PLACE,,32,,1998,
207872,,,14,,1923,
355584,BURNHAM CENTER,,21,,1915,
344187,APARTMENT BUILDING,,50,,1983,
813958,,,30,,2003,
418270,,,13,,1929,
813465,,,11,14,1916,
838099,,,11,,2005,
351869,COLUMBUS PLAZA,,47,352,1980,
331204,JOHN HANCOCK CENTER,,100,,1969,
481456,PROMONOTORY APARTMENTS,,21,231,1947,853200
103480,,,23,310,1970,
355637,CIVIC OPERA BUILDING,LYRIC OPERA,45,,1929,
834528,CONGRESS PLAZA HOTEL,,13,,1900,
814395,ORIENTAL THEATER,,23,,1926,
30119,,,11,,1949,
813548,THE BRISTOL,,42,189,1901,17400
339736,NWU PRENTICE/STONE PAVILLION,INSTITUTE OF PSYCHIATRY,14,,,
762923,PULLMAN BANK BUILDING,,13,,1989,214100
362168,,,21,,1978,
341431,676 NORTH ST. CLAIR,,25,,1979,
241398,,,11,,1965,
814451,METROPOLITAN BLDG,,22,,1926,
821019,PRAIRIE HOUSE,,14,,2003,
304077,,,17,34,1929,
414672,,,12,,1954,
322336,,,18,,1925,
834944,THE LOFTS AT MUSEUM PARK II,,21,,2006,
836111,,,12,,2005,
814583,CHICAGO ATHLELIC ASSOC.,,18,,1912,177000
356153,TWO NORTH LASALLE,,26,,1978,
814856,,,11,,1908,47500
334585,FEWKES TOWER,,29,,1967,
815622,CHESTNUT PLACE APARTMENTS,,30,,1981,
837492,,,15,,1929,
815884,CONTEMPORAINE,,15,,2004,
337830,THE CHICAGOAN,,36,221,1989,18200
359044,GATEWAY CENTER III,222 SOUTH RIVERSIDE PLAZA,35,,1972,
535693,,,21,241,1970,
814522,,,12,,1966,102500
312794,,,11,,1999,
431160,,,14,339,1970,
484285,,,14,154,1949,
356929,CHEMICAL PLAZA/HANOVER PLAZA,,37,,1949,
370047,SEARS MERCHANDISE TOWER,,15,,1949,
815415,,,18,88,1933,2400
342572,W HOTEL LAKESHORE,,33,,1964,475500
360650,300 SOUTH WACKER,,36,,1971,
824984,The Lancaster,,30,,2005,
554953,,,12,132,1916,
837541,,,32,66,1932,
838359,,,14,,1924,
