primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
Pain Warriors,2019,75,Documentary,7.3,234
The Problem Y,2014,90,"Comedy,Drama",8.5,16
Toby's Big Adventure,2020,90,Family,5.8,27
Pastime,1990,94,"Drama,Sport",6.6,439
Ice Cross: Life on the Edge,2024,90,Sport,7.7,32
Stvury,2025,90,Crime,7.1,253
Polish Kitsch Project,2003,80,Comedy,3.7,96
Yandym,1995,78,Drama,5.2,24
The Night of the Two Moons,2018,110,Drama,5.9,127
Blowing Wild,1953,90,"Action,Adventure,Drama",6.4,1380
Isto é Noel Rosa,1990,46,"Documentary,Music",6.8,28
Fiabe metropolitane,1997,105,Comedy,6.5,14
Forced to Fight,2011,101,Action,4.4,866
Victim/Suspect,2023,90,"Crime,Documentary",6.8,2671
Pattam Bharathamum,1975,\N,\N,5.2,6
Shaqiri (rote pane),1932,94,"Action,Drama",6.0,15
Our Story,2015,97,Drama,5.3,18114
Aysecik: Hayat Sevince Güzel,1971,94,"Comedy,Drama",5.8,947
Dietro la notte,2021,90,Thriller,4.9,144
Sexton Blake and the Hooded Terror,1938,70,"Crime,Drama,Mystery",5.5,310
L'école des contribuables,1934,75,Comedy,5.9,35
A Miracle of Oam and Somwung,1998,87,Comedy,5.7,21
Tough Love,2014,82,"Documentary,Drama,Family",7.3,22
Returned,2015,90,Sci-Fi,3.2,181
These Are the Ones That Count,2016,97,"Documentary,Sport",7.1,37
Indian Rupee,2011,155,Drama,7.6,2101
Watchers of the Sky,2014,120,"Biography,Documentary,History",7.4,317
Nagaram,2008,148,Action,4.5,43
Naked Gun 33 1/3: The Final Insult,1994,83,"Comedy,Crime",6.5,128513
The Diviners,2019,60,"Adventure,Comedy,Documentary",7.3,40
Arwah Tumbal Nyai the Trilogy: Part Arwah,2018,104,Horror,3.7,110
Last Princess of Royal Blood: Tsetsenhangru,2008,96,Drama,8.2,26
A Woman's Life,2026,98,Drama,6.3,91
The Broken Coin,1915,440,"Adventure,Mystery",6.4,31
Fanny camina,2021,82,Drama,6.7,14
Area 51's Secrets,2015,\N,Documentary,6.2,21
The Act in Question,1993,106,Drama,7.8,359
The Wanderers,1973,100,"Action,Adventure,Comedy",6.4,234
Double Tap,2011,100,"Action,Crime,Drama",5.2,82
Wild,2018,80,Documentary,7.0,174
Dreambuilders,2020,81,"Adventure,Animation,Comedy",6.0,2111
Bigger Than Barbie,2006,52,Documentary,5.6,12
Unarmed Combat,2005,94,Comedy,5.8,15
Riefenstahl,2024,115,"Biography,Documentary,History",7.2,1982
Corrupt Desires,1983,71,Adult,6.2,71
A Man Called Blade,1977,101,"Action,Drama,Thriller",6.5,2184
Darkland: The Return,2023,110,"Action,Thriller",6.3,2713
Hidden Landscapes,2024,\N,Documentary,7.6,12
Love in Jamaica,1957,96,"Comedy,Musical",5.9,22
Coeur de pierre,2018,89,Documentary,7.5,19
Michel Strogoff,2004,\N,Animation,6.7,16
Iskilipli Atif Hoca,1993,104,"Biography,Drama",6.4,347
Pokémon the Movie: Diancie and the Cocoon of Destruction,2014,76,"Action,Adventure,Animation",5.5,2201
AV Idol,2012,115,"Comedy,Drama",5.3,19
Absolute Rest,2015,75,Drama,5.8,1243
Maurice Ripke Is the Woodsman,2012,78,"Adventure,Horror,Thriller",4.3,246
Home from Home: Chronicle of a Vision,2013,231,"Drama,History",7.9,1628
Riemuruhtinaat,2010,52,Documentary,6.7,11
