primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
Fargo,1996,98,"Crime,Drama,Thriller",8.1,788029
Spider-Man 2,2004,127,"Action,Adventure,Sci-Fi",7.5,786894
Psycho,1960,109,"Drama,Horror,Mystery",8.5,786696
World War Z,2013,116,"Action,Adventure,Horror",7.0,785349
2001: A Space Odyssey,1968,149,"Adventure,Sci-Fi",8.3,784421
Ant-Man,2015,117,"Action,Comedy,Sci-Fi",7.2,782042
Thor: The Dark World,2013,112,"Action,Adventure,Animation",6.7,779358
Kingsman: The Secret Service,2014,129,"Action,Adventure,Comedy",7.7,778413
The Hunger Games: Catching Fire,2013,146,"Action,Adventure,Romance",7.5,775433
Skyfall,2012,143,"Action,Adventure,Thriller",7.8,774237
Silver Linings Playbook,2012,122,"Comedy,Drama,Romance",7.7,774171
1917,2019,119,"Drama,War",8.2,773757
Now You See Me,2013,115,"Crime,Mystery,Thriller",7.2,772369
Apocalypse Now,1979,147,"Drama,Mystery,War",8.4,771565
Trainspotting,1996,93,"Crime,Drama",8.1,769002
Harry Potter and the Prisoner of Azkaban,2004,142,"Adventure,Family,Fantasy",7.9,768527
The Amazing Spider-Man,2012,136,"Action,Sci-Fi",6.9,767740
Harry Potter and the Chamber of Secrets,2002,161,"Adventure,Family,Fantasy",7.5,767592
Million Dollar Baby,2004,132,"Drama,Sport",8.1,767429
La La Land,2016,128,"Comedy,Drama,Music",8.0,765543
Drive,2011,100,"Action,Drama",7.8,765428
X-Men: First Class,2011,131,"Action,Sci-Fi",7.7,765058
Suicide Squad,2016,123,"Action,Adventure,Fantasy",5.9,760607
Dune: Part Two,2024,166,"Action,Adventure,Drama",8.4,760010
Rogue One: A Star Wars Story,2016,133,"Action,Adventure,Sci-Fi",7.8,758326
Blade Runner 2049,2017,164,"Action,Drama,Mystery",8.0,756596
Harry Potter and the Goblet of Fire,2005,157,"Adventure,Family,Fantasy",7.7,755182
The Hobbit: The Desolation of Smaug,2013,161,"Adventure,Fantasy",7.8,754921
District 9,2009,112,"Action,Sci-Fi,Thriller",7.9,753494
Pan's Labyrinth,2006,118,"Drama,Fantasy,War",8.2,747738
The Curious Case of Benjamin Button,2008,166,"Drama,Fantasy,Romance",7.8,747321
Casino Royale,2006,144,"Action,Adventure,Thriller",8.0,746699
Deadpool 2,2018,119,"Action,Adventure,Comedy",7.6,746582
Home Alone,1990,103,"Comedy,Family",7.8,746374
Pirates of the Caribbean: At World's End,2007,169,"Action,Adventure,Fantasy",7.2,745685
Jaws,1975,124,"Adventure,Drama,Horror",8.1,739236
Groundhog Day,1993,101,"Comedy,Drama,Fantasy",8.0,736800
Wonder Woman,2017,141,"Action,Adventure,Fantasy",7.3,736417
The King's Speech,2010,118,"Biography,Drama,History",8.0,733695
Jurassic World,2015,124,"Action,Adventure,Sci-Fi",6.9,730826
Her,2013,126,"Drama,Romance,Sci-Fi",8.0,728058
The Hateful Eight,2015,168,"Crime,Drama,Mystery",7.8,723923
Oldboy,2003,120,"Action,Drama,Mystery",8.3,721141
Star Wars: Episode VIII - The Last Jedi,2017,152,"Action,Adventure,Fantasy",6.8,720586
Transformers,2007,144,"Action,Adventure,Sci-Fi",7.1,720165
Frozen,2013,102,"Adventure,Animation,Comedy",7.4,714758
Ted,2012,106,Comedy,6.9,711600
Coco,2017,105,"Adventure,Animation,Drama",8.4,710626
There Will Be Blood,2007,158,Drama,8.2,710484
Sherlock Holmes,2009,128,"Action,Adventure,Mystery",7.5,707438
Harry Potter and the Order of the Phoenix,2007,138,"Adventure,Family,Fantasy",7.5,702135
Spider-Man 3,2007,139,"Action,Adventure,Sci-Fi",6.3,701913
Life of Pi,2012,127,"Adventure,Drama,Fantasy",7.9,701323
Prometheus,2012,124,"Adventure,Sci-Fi",7.0,701316
Birdman or (The Unexpected Virtue of Ignorance),2014,119,"Comedy,Drama",7.7,699700
It,2017,135,Horror,7.3,698747
Into the Wild,2007,148,"Adventure,Biography,Drama",8.0,696141
Superbad,2007,113,Comedy,7.6,696013
X-Men,2000,104,"Action,Adventure,Sci-Fi",7.3,692776
The Notebook,2004,123,"Drama,Romance",7.8,691807
Rocky,1976,120,"Drama,Sport",8.1,690848
Cast Away,2000,143,"Adventure,Drama,Romance",7.8,689844
Green Book,2018,130,"Biography,Comedy,Drama",8.2,689543
Tenet,2020,150,"Action,Sci-Fi,Thriller",7.3,688072
Barbie,2023,114,"Adventure,Comedy,Fantasy",6.8,687002
Baby Driver,2017,113,"Action,Crime,Drama",7.5,686291
The Bourne Ultimatum,2007,115,"Action,Mystery,Thriller",8.0,684931
Hacksaw Ridge,2016,139,"Biography,Drama,History",8.1,684078
12 Monkeys,1995,129,"Mystery,Sci-Fi,Thriller",8.0,680098
Zodiac,2007,157,"Crime,Drama,Mystery",7.7,675710
Ocean's Eleven,2001,116,"Crime,Thriller",7.7,675232
Don't Look Up,2021,138,"Comedy,Drama,Sci-Fi",7.1,673551
Taken,2008,90,"Action,Crime,Thriller",7.7,673195
Nightcrawler,2014,117,"Crime,Drama,Thriller",7.8,671773
The Matrix Reloaded,2003,138,"Action,Sci-Fi",7.2,671461
Toy Story 2,1999,92,"Adventure,Animation,Comedy",7.9,670408
Zombieland,2009,88,"Action,Comedy,Horror",7.5,669065
Argo,2012,120,"Biography,Drama,History",7.7,668079
Harry Potter and the Deathly Hallows: Part 1,2010,146,"Adventure,Family,Fantasy",7.7,666174
Men in Black,1997,98,"Action,Adventure,Comedy",7.3,665520
Harry Potter and the Half-Blood Prince,2009,153,"Adventure,Family,Fantasy",7.6,662231
A Quiet Place,2018,90,"Drama,Horror,Sci-Fi",7.5,660479
Captain Marvel,2019,123,"Action,Adventure,Sci-Fi",6.7,660376
L.A. Confidential,1997,138,"Crime,Drama,Mystery",8.2,658934
Dead Poets Society,1989,128,"Comedy,Drama",8.1,655598
Casablanca,1942,102,"Drama,Romance,War",8.5,655476
"Lock, Stock and Two Smoking Barrels",1998,107,"Comedy,Crime",8.1,649763
Limitless,2011,105,"Sci-Fi,Thriller",7.4,649477
