nconst,primaryName,numFilms,totalVotes,titles
nm1165110,Chris Hemsworth,27,12173577,tt0848228|tt4154796|tt4154756|tt2395427|tt0800369|tt3501632|tt1981115|tt1979320|tt1259521|tt10648342|tt12037194|tt1735898|tt8936646|tt6628394|tt12263384|tt2283336|tt1390411|tt1524930|tt2381991|tt1413492|tt32430579|tt1234719|tt0971209|tt9783600|tt8864596|tt2717822|tt1106860
nm0614165,Cillian Murphy,35,11883722,tt0468569|tt1375666|tt0372784|tt15398776|tt0289043|tt1637688|tt8332922|tt0448134|tt2209764|tt0421239|tt1390411|tt7456310|tt15574124|tt0335119|tt1748179|tt4190530|tt0460989|tt4158096|tt27196021|tt0411195|tt5814592|tt32985279|tt0332658|tt1410051|tt1188113|tt0472205|tt1003034|tt0236157|tt0221559|tt2494384|tt6164762|tt5674658|tt0168199|tt0256084|tt1202056
nm0362766,Tom Hardy,33,11840920,tt1375666|tt1345836|tt1392190|tt1663202|tt5013056|tt1270797|tt1291584|tt7097896|tt1032755|tt1212450|tt1340800|tt3569230|tt0375912|tt1596350|tt1600196|tt2692904|tt16366836|tt1172570|tt0253754|tt1014763|tt21454134|tt14123284|tt1112782|tt6199572|tt0804552|tt0326835|tt0258816|tt0475380|tt0415160|tt0313608|tt0762137|tt0337659|tt1095408
nm0000553,Liam Neeson,98,11782880,tt0372784|tt0108052|tt0120915|tt0936501|tt0314331|tt0217505|tt0320661|tt1397280|tt0800320|tt2024469|tt0429493|tt1401152|tt1601913|tt1440129|tt1458175|tt2446042|tt2557490|tt1646987|tt2283336|tt0490215|tt1590193|tt3402138|tt0365907|tt2199571|tt4218572|tt0171363|tt5719748|tt1352824|tt0099365|tt0267626|tt0091530|tt1838556|tt3758814|tt0362269|tt0094963|tt0114287|tt6902332|tt0119683|tt0838247|tt11827628|tt0085811|tt0479537|tt0117039|tt0086993|tt1821658|tt15782690|tt0110638|tt2343793|tt14060094|tt6906292|tt8879928|tt0411195|tt27621210|tt5175450|tt0104695|tt6722802|tt1238291|tt0974613|tt0094082|tt9207700|tt0097967|tt0105391|tt0115645|tt8337290|tt0171356|tt4939066|tt0093771|tt6012380|tt0105691|tt1640718|tt0096037|tt1509276|tt0107999|tt1778931|tt0106833|tt0095238|tt3546370|tt0099136|tt0092934|tt11921004|tt0091375|tt0270291|tt2916786|tt0359836|tt3244466|tt0359075|tt5885148|tt13414418|tt0089341|tt0116846|tt1153696|tt6413828|tt10146194|tt4085258|tt32365091|tt0981340|tt0284370|tt0989825
nm0000437,Woody Harrelson,80,11576597,tt0477348|tt1951264|tt1670345|tt1156398|tt1270797|tt5027774|tt1951265|tt1190080|tt1632708|tt1951266|tt3778644|tt3110958|tt3450958|tt0814314|tt7097896|tt1931533|tt0110632|tt1560220|tt7322224|tt1878870|tt1206543|tt1860242|tt6924650|tt0117318|tt0105812|tt0116778|tt0120885|tt0839980|tt0107211|tt7766378|tt1712261|tt7737528|tt4712810|tt11671006|tt1896747|tt0800241|tt0367479|tt0395972|tt0113845|tt0101745|tt2378507|tt14403504|tt0790712|tt1303828|tt15339570|tt1621039|tt1640548|tt0420087|tt1181795|tt1082853|tt0402850|tt0850253|tt2436682|tt0196857|tt1781058|tt5540992|tt0109493|tt0976247|tt4778988|tt0120782|tt0406158|tt13650742|tt0384533|tt0120490|tt0286947|tt30096221|tt0298337|tt0888693|tt0427998|tt0783608|tt0117781|tt6338476|tt0120699|tt2467700|tt0214730|tt15390756|tt0103057|tt0308488|tt9617570|tt38607959
nm0413168,Hugh Jackman,38,11563757,tt0482571|tt1392214|tt3315342|tt1877832|tt0120903|tt0290334|tt6263850|tt0376994|tt0458525|tt1430132|tt0433035|tt1707386|tt1485796|tt0338526|tt1823672|tt0414993|tt0366548|tt1446192|tt0244244|tt0424095|tt0455824|tt1083452|tt32565993|tt0035423|tt0457513|tt3272066|tt3332064|tt8206668|tt0800240|tt30343021|tt6348138|tt0244970|tt14458442|tt32273171|tt7074886|tt0180037|tt0212936|tt1321813
nm0089217,Orlando Bloom,30,11349813,tt0120737|tt0167260|tt0167261|tt0325980|tt0383574|tt0449088|tt0332452|tt1790809|tt0320661|tt4495098|tt1509767|tt0368709|tt0808399|tt3833480|tt31121295|tt1734493|tt0277941|tt2249221|tt1582271|tt3704416|tt0386504|tt19244260|tt5648036|tt1365483|tt7099280|tt26697087|tt1270277|tt5200368|tt3466476|tt30469484
nm0000206,Keanu Reeves,67,11343846,tt0133093|tt2911666|tt0234215|tt0242653|tt4425200|tt6146586|tt0118971|tt0111257|tt10366206|tt0360486|tt1979376|tt10838180|tt0103874|tt0102685|tt0970416|tt1335975|tt0410297|tt7181546|tt0096928|tt0337741|tt0421073|tt0405296|tt3605418|tt1974419|tt0230838|tt0101452|tt18259086|tt0219699|tt0113481|tt8912936|tt0094947|tt0191397|tt0102494|tt7374948|tt0098067|tt0115857|tt1086064|tt0107616|tt27543578|tt4154916|tt2016940|tt0114887|tt4334266|tt3503406|tt6987770|tt0180734|tt0204626|tt0091860|tt0318761|tt1220888|tt0107426|tt6494418|tt4019560|tt0099819|tt23724682|tt0116289|tt0106834|tt1718158|tt0095730|tt0119502|tt0095853|tt0100822|tt0095903|tt5228262|tt0091065|tt0175080|tt0904079
nm0177896,Bradley Cooper,36,11315268,tt2015381|tt1119646|tt3896198|tt1045658|tt1219289|tt1411697|tt2179136|tt1800241|tt6791350|tt1517451|tt5950044|tt1068680|tt0396269|tt1179933|tt1951261|tt1817273|tt0429493|tt7740496|tt7959026|tt2446980|tt2503944|tt0817230|tt0795351|tt0427229|tt1840417|tt1243974|tt0805570|tt5535276|tt0808399|tt0881891|tt2097307|tt1247690|tt28083456|tt0280969|tt0932669|tt0349193
nm0000199,Al Pacino,58,10958424,tt0068646|tt0071562|tt0086250|tt0113277|tt1302006|tt0099674|tt0118971|tt0496806|tt0105323|tt0119008|tt0278504|tt0072890|tt0106519|tt0140352|tt11214590|tt0292506|tt0070666|tt0146838|tt0104348|tt0810913|tt1034331|tt0411061|tt0099422|tt0258153|tt1389096|tt0417217|tt0098273|tt0078718|tt0379889|tt0101912|tt1772288|tt0080569|tt0115907|tt0067549|tt0070643|tt3011960|tt3658772|tt1535612|tt15181326|tt0274711|tt5126922|tt0116913|tt2893490|tt0089913|tt1568343|tt32194932|tt0083598|tt0075774|tt0118852|tt1333644|tt0114753|tt7050946|tt3112900|tt0097769|tt5519506|tt22379462|tt27011532|tt30057115
