sale_date,sale_price,class,class_description,property_group,city,zip_code,township_name,municipality,chicago_community_area,latitude,longitude,year_built,building_sqft,land_sqft,bedrooms,rooms,full_baths,half_baths,deed_type,is_multisale,num_parcels_sale,filter_same_sale_within_365,filter_less_than_10k,filter_deed_type
2025-01-02,205000,203,"One story residence, any age, 1,000 to 1,800 sq. ft.",Single-Family,MATTESON,60443,Rich,VILLAGE OF MATTESON,,41.511,-87.753,1961,1225,7540,3,6,1,1,Trustee,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,207000,299,Condominium,Condominium,LA GRANGE,60525,Lyons,VILLAGE OF LA GRANGE,,41.797,-87.865,,,,,,,,Warranty,TRUE,2,FALSE,FALSE,FALSE
2025-01-02,207000,299,Condominium,Condominium,LA GRANGE,60525,Lyons,VILLAGE OF LA GRANGE,,41.797,-87.865,,,,,,,,Warranty,TRUE,2,FALSE,FALSE,FALSE
2025-01-02,210000,299,Condominium,Condominium,TINLEY PARK,60477,Orland,VILLAGE OF TINLEY PARK,,41.585,-87.817,,,,,,,,Trustee,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,216500,299,Condominium,Condominium,CHICAGO,60610,North Chicago,CITY OF CHICAGO,NEAR NORTH SIDE,41.909,-87.628,,,,,,,,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,219900,299,Condominium,Condominium,CHICAGO,60659,Lake View,CITY OF CHICAGO,WEST RIDGE,41.994,-87.689,,,,,,,,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,230000,203,"One story residence, any age, 1,000 to 1,800 sq. ft.",Single-Family,CHICAGO,60629,Lake,CITY OF CHICAGO,WEST LAWN,41.781,-87.726,1933,1353,3780,3,6,1,0,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,230000,203,"One story residence, any age, 1,000 to 1,800 sq. ft.",Single-Family,CHICAGO,60636,Lake,CITY OF CHICAGO,WEST ENGLEWOOD,41.763,-87.656,1929,1111,3125,5,10,2,0,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,232500,203,"One story residence, any age, 1,000 to 1,800 sq. ft.",Single-Family,CHICAGO,60634,Jefferson,CITY OF CHICAGO,DUNNING,41.938,-87.792,1898,1078,3500,2,4,1,0,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,235000,202,"One story residence, any age, up to 999 sq. ft.",Single-Family,SUMMIT,60501,Lyons,VILLAGE OF SUMMIT,,41.776,-87.810,1925,660,3100,2,4,1,1,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,237500,299,Condominium,Condominium,CHICAGO,60611,North Chicago,CITY OF CHICAGO,NEAR NORTH SIDE,41.899,-87.627,,,,,,,,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,240000,234,"Split level residence, with a lower level below grade, all ages, all sizes",Single-Family,MARKHAM,60428,Bremen,CITY OF MARKHAM,,41.608,-87.696,1998,1728,13585,3,6,2,1,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,243000,234,"Split level residence, with a lower level below grade, all ages, all sizes",Single-Family,CHICAGO,60643,Lake,CITY OF CHICAGO,WEST PULLMAN,41.682,-87.652,1968,1120,5320,3,6,1,1,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,246000,299,Condominium,Condominium,SCHAUMBURG,60194,Schaumburg,VILLAGE OF SCHAUMBURG,,42.030,-88.103,,,,,,,,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,249999,202,"One story residence, any age, up to 999 sq. ft.",Single-Family,WORTH,60482,Worth,VILLAGE OF WORTH,,41.685,-87.786,1955,974,6669,3,6,1,0,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,250000,203,"One story residence, any age, 1,000 to 1,800 sq. ft.",Single-Family,LA GRANGE PARK,60526,Proviso,VILLAGE OF LA GRANGE PARK,,41.842,-87.860,1953,1036,6700,3,5,1,0,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,250000,212,"Two to six mixed-use apartments, any age, up to 20,000 sq. ft.",Multi-Family,BELLWOOD,60104,Proviso,VILLAGE OF BELLWOOD,,41.882,-87.887,1960,4200,9365,4,7,4,1,Trustee,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,260000,295,"Individually owned row houses or townhouses, up to 62 years",Single-Family,FLOSSMOOR,60422,Bloom,VILLAGE OF FLOSSMOOR,,41.529,-87.655,1997,1790,1938,3,5,2,1,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,260000,299,Condominium,Condominium,BROOKFIELD,60513,Proviso,VILLAGE OF BROOKFIELD,,41.823,-87.843,,,,,,,,Trustee,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,262500,299,Condominium,Condominium,CHICAGO,60634,Jefferson,CITY OF CHICAGO,DUNNING,41.956,-87.789,,,,,,,,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,265000,203,"One story residence, any age, 1,000 to 1,800 sq. ft.",Single-Family,THORNTON,60476,Thornton,VILLAGE OF THORNTON,,41.577,-87.602,1965,1069,8500,3,6,1,1,Trustee,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,265000,234,"Split level residence, with a lower level below grade, all ages, all sizes",Single-Family,ALSIP,60803,Worth,VILLAGE OF ALSIP,,41.675,-87.723,1965,1008,7581,3,5,1,0,Trustee,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,284900,203,"One story residence, any age, 1,000 to 1,800 sq. ft.",Single-Family,OAK FOREST,60452,Bremen,CITY OF OAK FOREST,,41.617,-87.749,1988,1100,11254,3,6,1,0,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,285000,299,Condominium,Condominium,BUFFALO GROVE,60089,Wheeling,VILLAGE OF BUFFALO GROVE,,42.140,-87.976,,,,,,,,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,289000,203,"One story residence, any age, 1,000 to 1,800 sq. ft.",Single-Family,CHICAGO,60617,Hyde Park,CITY OF CHICAGO,CALUMET HEIGHTS,41.732,-87.565,1955,1107,4000,3,5,1,0,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,289900,205,"Two or more story residence, over 62 years, up to 2,200 sq. ft",Single-Family,BERWYN,60402,Berwyn,CITY OF BERWYN,,41.821,-87.793,1940,945,3904,2,5,1,0,Warranty,FALSE,1,FALSE,FALSE,FALSE
2025-01-02,290000,299,Condominium,Condominium,WHEELING,60090,Wheeling,VILLAGE OF WHEELING,,42.142,-87.910,,,,,,,,Warranty,FALSE,1,FALSE,FALSE,FALSE
