OBJECTID,STATION_ID,ASSET_ID,NAME,LONGNAME,LINES,BRANCH_ID,STATUS,MILEPOST,FAREZONE,ADA,ADA2,PKNRD,BIKEPKNG,TICKET_AVA,ADDRESS,MUNICIPALI,TELEPHONE,WEBLINK,LABELANGLE,EDIT_INIT,EDIT_DATE,YEAR_OPEN
124,11224.0,51211224.0,Glen Ellyn,Glen Ellyn,UP-W,11,1,22.4,E,0,A,1,40,,551 Crescent Blvd ( at Main St.),Glen Ellyn,,,45,ks,1995-08-02,
125,11238.0,51211238.0,College Ave.,College Avenue,UP-W,11,1,23.8,E,0,N,1,40,,1295 E. College Ave.,Wheaton,,,45,ks,1995-08-02,
126,11250.0,51211250.0,Wheaton,Wheaton,UP-W,11,1,25.0,E,0,M,1,110,,402 Front St. (at West St.),Wheaton,,,45,ks,1995-08-02,
127,11275.0,51211275.0,Winfield,Winfield,UP-W,11,1,27.5,F,0,A,1,0,,Jewell Rd. and Winfield Rd.,Winfield,,,45,ks,1995-08-02,
128,11300.0,51211300.0,West Chicago,West Chicago,UP-W,11,1,29.8,F,0,A,1,27,,508 W. Main St.,West Chicago,,,45,ks,1995-08-02,
129,11355.0,51211355.0,Geneva,Geneva,UP-W,11,1,35.5,H,0,A,1,25,,328 Crescent Place,Geneva,,,45,ks,1995-08-02,
130,12029.0,51212029.0,Western Ave.,Western Avenue,"Milw-N, Milw-W, NCS",12,1,2.9,A,0,A,1,0,,420 N. Artesian (near Grand Ave.),Chicago,,,30,ks,1995-08-02,
131,12077.0,51212077.0,Hanson Park,Hanson Park,Milw-W,12,1,7.7,B,0,N,1,0,,Parkside and Armitage Ave.,Chicago,,,30,ks,1995-08-02,
132,12086.0,51212086.0,Galewood,Galewood,Milw-W,12,1,8.6,B,0,N,1,0,,2031 N. Narragansett,Chicago,,,30,ks,1995-08-02,
133,12091.0,51212091.0,Mars,Mars,Milw-W,12,1,9.1,B,0,N,1,0,,6801 W. Shakespeare Ave.,Chicago,,,30,ks,1995-08-02,
134,0.0,0.0,Pingree Rd.,Pingree Rd.,UP-NW,13,1,0.0,I,0,,0,0,,570 Congress Pkwy,Crystal Lake,,,0,af,2011-04-28,
135,0.0,0.0,Palos Heights,Palos Heights,SWS,8,1,0.0,D,0,,0,0,,11451 Southwest Highway,Palos Heights,,,0,af,2011-04-28,
136,0.0,0.0,35th St,Lovana S. Jones/Bronzeville,Rock Is.,6,1,0.0,A,0,,0,0,,106 W 35th St,Chicago,,,0,af,2011-04-28,
137,0.0,0.0,La Fox,La Fox,UP-W,11,1,0.0,I,0,,0,0,,40 W 999 Deslinger Rd,Kane County,,,0,af,2011-04-28,
138,0.0,0.0,Elburn,Elburn,UP-W,11,1,0.0,I,0,,0,0,,43 W 166 Keslinger Rd,Elburn,,,0,af,2011-04-28,
139,0.0,0.0,Manhattan,Manhattan,SWS,8,1,0.0,I,0,,0,0,,15601 W Sweedler Rd,Manhattan,,,0,af,2011-04-28,
140,12095.0,51212095.0,Mont Clare,Mont Clare,Milw-W,12,1,9.5,B,0,A,1,0,,7007 W. Medill St.,Chicago,,,30,ks,1995-08-02,
141,12102.0,51212102.0,Elmwood Park,Elmwood Park,Milw-W,12,1,10.2,C,0,A,1,11,,7600 W. Grand Ave.,Elmwood Park,,,30,ks,1995-08-02,
142,12114.0,51212114.0,River Grove,River Grove,"Milw-W, NCS",12,1,11.4,C,0,A,1,0,,8421 Arnold Ave.,River Grove,,,30,ks,1995-09-14,
143,12132.0,51212132.0,Franklin Park,Franklin Park,Milw-W,12,1,13.2,C,0,A,1,11,,3148 Rose St.,Franklin Park,,,30,ks,1995-08-02,
144,12140.0,51212140.0,Mannheim,Mannheim,Milw-W,12,1,14.0,C,1,N,1,0,,Front St. and Lincoln St.,Franklin Park,,,30,ks,1995-08-02,
145,12172.0,51212172.0,Bensenville,Bensenville,Milw-W,12,1,17.2,D,0,A,1,21,,110 W. Main St.,Bensenville,,,30,ks,1995-08-02,
